날짜,원/미국달러,기준금리,dubai,총지수
2022-11-29,1339.0,3.25,77.21,109.07
2022-11-30,1331.5,3.25,80.47,109.07
2022-12-01,1320.1,3.25,80.94,109.26
2022-12-02,1300.8,3.25,80.1,109.26
2022-12-03,1300.8,3.25,80.1,109.26
2022-12-04,1300.8,3.25,80.1,109.26
2022-12-05,1300.4,3.25,77.52,109.26
2022-12-06,1293.2,3.25,75.12,109.26
2022-12-07,1309.0,3.25,73.88,109.26
2022-12-08,1319.5,3.25,73.45,109.26
2022-12-09,1320.4,3.25,73.71,109.26
2022-12-10,1320.4,3.25,73.71,109.26
2022-12-11,1320.4,3.25,73.71,109.26
2022-12-12,1306.6,3.25,75.13,109.26
2022-12-13,1310.0,3.25,76.62,109.26
2022-12-14,1304.4,3.25,77.67,109.26
2022-12-15,1296.0,3.25,76.9,109.26
2022-12-16,1301.0,3.25,75.89,109.26
2022-12-17,1301.0,3.25,75.89,109.26
2022-12-18,1301.0,3.25,75.89,109.26
2022-12-19,1310.1,3.25,76.31,109.26
2022-12-20,1302.0,3.25,76.4,109.26
2022-12-21,1298.0,3.25,77.1,109.26
2022-12-22,1286.6,3.25,76.87,109.26
2022-12-23,1276.1,3.25,80.11,109.26
2022-12-24,1276.1,3.25,80.11,109.26
2022-12-25,1276.1,3.25,80.11,109.26
2022-12-26,1282.2,3.25,80.11,109.26
2022-12-27,1276.4,3.25,80.29,109.26
2022-12-28,1268.3,3.25,79.45,109.26
2022-12-29,1268.4,3.25,78.68,109.26
2022-12-30,1267.3,3.25,81.06,109.26
2022-12-31,1267.3,3.25,81.06,109.26
2023-01-01,1267.3,3.25,81.06,110.07
2023-01-02,1267.3,3.25,81.06,110.07
2023-01-03,1268.9,3.25,77.91,110.07
2023-01-04,1272.1,3.25,74.69,110.07
2023-01-05,1274.7,3.25,75.46,110.07
2023-01-06,1270.3,3.25,75.4,110.07
2023-01-07,1270.3,3.25,75.4,110.07
2023-01-08,1270.3,3.25,75.4,110.07
2023-01-09,1267.2,3.25,76.43,110.07
2023-01-10,1246.8,3.25,77.06,110.07
2023-01-11,1240.8,3.25,78.68,110.07
2023-01-12,1245.3,3.25,79.39,110.07
2023-01-13,1244.6,3.5,80.02,110.07
2023-01-14,1244.6,3.5,80.02,110.07
2023-01-15,1244.6,3.5,80.02,110.07
2023-01-16,1240.6,3.5,80.02,110.07
2023-01-17,1234.0,3.5,80.66,110.07
2023-01-18,1238.5,3.5,80.19,110.07
2023-01-19,1239.8,3.5,80.49,110.07
2023-01-20,1236.0,3.5,81.0,110.07
2023-01-21,1236.0,3.5,81.0,110.07
2023-01-22,1236.0,3.5,81.0,110.07
2023-01-23,1236.0,3.5,81.07,110.07
2023-01-24,1236.0,3.5,83.12,110.07
2023-01-25,1234.4,3.5,83.02,110.07
2023-01-26,1233.4,3.5,84.02,110.07
2023-01-27,1231.4,3.5,83.16,110.07
2023-01-28,1231.4,3.5,83.16,110.07
2023-01-29,1231.4,3.5,83.16,110.07
2023-01-30,1230.2,3.5,81.16,110.07
2023-01-31,1228.7,3.5,82.35,110.07
2023-02-01,1230.8,3.5,80.32,110.33
2023-02-02,1231.4,3.5,80.07,110.33
2023-02-03,1219.3,3.5,78.1,110.33
2023-02-04,1219.3,3.5,78.1,110.33
2023-02-05,1219.3,3.5,78.1,110.33
2023-02-06,1227.2,3.5,78.97,110.33
2023-02-07,1247.5,3.5,81.19,110.33
2023-02-08,1256.0,3.5,82.17,110.33
2023-02-09,1257.1,3.5,81.86,110.33
2023-02-10,1263.1,3.5,83.15,110.33
2023-02-11,1263.1,3.5,83.15,110.33
2023-02-12,1263.1,3.5,83.15,110.33
2023-02-13,1264.3,3.5,83.52,110.33
2023-02-14,1274.6,3.5,83.05,110.33
2023-02-15,1269.9,3.5,82.95,110.33
2023-02-16,1279.3,3.5,82.83,110.33
