날짜          총지수
2024-02-07   113.78
2024-02-08   113.78
2024-02-09   113.78
2024-02-10   113.78
2024-02-11   113.78
2024-02-12   113.78
2024-02-13   113.78
2024-02-14   113.78
2024-02-15   113.78
2024-02-16   113.78
2024-02-17   113.78
2024-02-18   113.78
2024-02-19   113.78
2024-02-20   113.78
2024-02-21   113.78
2024-02-22   113.78
2024-02-23   113.78
2024-02-24   113.78
2024-02-25   113.78
2024-02-26   113.78
2024-02-27   113.78
2024-02-28   113.78
2024-02-29   113.78
2024-03-01   113.95
2024-03-02   113.95
2024-03-03   113.95
2024-03-04   113.95
2024-03-05   113.95
2024-03-06   113.95
2024-03-07   113.95
2024-03-08   113.95
2024-03-09   113.95
2024-03-10   113.95
2024-03-11   113.95
2024-03-12   113.95
2024-03-13   113.95
2024-03-14   113.95
2024-03-15   113.95
2024-03-16   113.95
2024-03-17   113.95
2024-03-18   113.95
2024-03-19   113.95
2024-03-20   113.95
2024-03-21   113.95
2024-03-22   113.95
2024-03-23   113.95
2024-03-24   113.95
2024-03-25   113.95
2024-03-26   113.95
2024-03-27   113.95
2024-03-28   113.95
2024-03-29   113.95
2024-03-30   113.95
2024-03-31   113.95
2024-04-01   114.01
2024-04-02   114.01
2024-04-03   114.01
2024-04-04   114.01
2024-04-05   114.01
2024-04-06   114.01
2024-04-07   114.01
2024-04-08   114.01
2024-04-09   114.01
2024-04-10   114.01
2024-04-11   114.01
2024-04-12   114.01
2024-04-13   114.01
2024-04-14   114.01
2024-04-15   114.01
2024-04-16   114.01
2024-04-17   114.01
2024-04-18   114.01
2024-04-19   114.01
2024-04-20   114.01
2024-04-21   114.01
2024-04-22   114.01
2024-04-23   114.01
2024-04-24   114.01
2024-04-25   114.01
2024-04-26   114.01
2024-04-27   114.01
2024-04-28   114.01
2024-04-29   114.01
2024-04-30   114.01
2024-05-01   114.10
2024-05-02   114.10
2024-05-03   114.10
2024-05-04   114.10
2024-05-05   114.10
2024-05-06   114.10
2024-05-07   114.10
2024-05-08   114.10
2024-05-09   114.10
2024-05-10   114.10
2024-05-11   114.10
2024-05-12   114.10
2024-05-13   114.10
2024-05-14   114.10
2024-05-15   114.10
2024-05-16   114.10
2024-05-17   114.10
2024-05-18   114.10
2024-05-19   114.10
2024-05-20   114.10
2024-05-21   114.10
2024-05-22   114.10
2024-05-23   114.10
2024-05-24   114.10
2024-05-25   114.10
2024-05-26   114.10
2024-05-27   114.10
2024-05-28   114.10
2024-05-29   114.10
2024-05-30   114.10
2024-05-31   114.10
2024-06-01   113.84
2024-06-02   113.84
2024-06-03   113.84
2024-06-04   113.84
2024-06-05   113.84
2024-06-06   113.84
2024-06-07   113.84
2024-06-08   113.84
2024-06-09   113.84
2024-06-10   113.84
2024-06-11   113.84
2024-06-12   113.84
2024-06-13   113.84
2024-06-14   113.84
2024-06-15   113.84
2024-06-16   113.84
2024-06-17   113.84
2024-06-18   113.84
2024-06-19   113.84
2024-06-20   113.84
2024-06-21   113.84
2024-06-22   113.84
2024-06-23   113.84
2024-06-24   113.84
2024-06-25   113.84
2024-06-26   113.84
2024-06-27   113.84
2024-06-28   113.84
2024-06-29   113.84
2024-06-30   113.84
2024-07-01   114.13
2024-07-02   114.13
2024-07-03   114.13
2024-07-04   114.13
2024-07-05   114.13
2024-07-06   114.13
2024-07-07   114.13
2024-07-08   114.13
2024-07-09   114.13
2024-07-10   114.13
2024-07-11   114.13
2024-07-12   114.13
2024-07-13   114.13
2024-07-14   114.13
2024-07-15   114.13
2024-07-16   114.13
2024-07-17   114.13
2024-07-18   114.13
2024-07-19   114.13
2024-07-20   114.13
2024-07-21   114.13
2024-07-22   114.13
